,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
24,Pendulum-v1,240,-231.0935492029152,25199,126,104.76752805709839,53.66221237182617,16.19215202331543,-56.21064758300781,-55.724098205566406,-54.39043045043945,-2.0853002071380615
25,Pendulum-v1,239,-203.89004393219966,26199,131,109.17445397377014,52.03509521484375,538.6350708007812,-53.351783752441406,-53.757205963134766,-53.97895812988281,-2.378152847290039
26,Pendulum-v1,239,-178.4387767013837,27199,136,113.46678733825684,46.24219512939453,8.40357780456543,-48.647117614746094,-48.222625732421875,-48.357032775878906,-1.905839443206787
27,Pendulum-v1,239,-168.07248882024751,28199,141,117.88037252426147,46.951904296875,6.026566028594971,-48.1323127746582,-48.42427062988281,-48.095664978027344,-1.8753992319107056
28,Pendulum-v1,238,-161.67070566108762,29199,146,122.24086427688599,53.31278610229492,13.51360034942627,-54.68883514404297,-54.747833251953125,-54.5654296875,-2.180742025375366
29,Pendulum-v1,238,-159.39968849150378,30199,151,126.56566190719604,48.052581787109375,5.823152542114258,-50.162681579589844,-49.94096374511719,-49.94321060180664,-2.0304789543151855
30,Pendulum-v1,238,-156.95858775184908,31199,156,130.90810775756836,43.357696533203125,8.890130996704102,-44.28895568847656,-44.67864990234375,-44.38011169433594,-1.8233706951141357
31,Pendulum-v1,238,-154.34721133565216,32199,161,135.17727875709534,56.37359619140625,75.02299499511719,-57.87516784667969,-57.92818832397461,-58.950218200683594,-2.2811477184295654
32,Pendulum-v1,237,-155.78988278429063,33199,166,139.61783528327942,44.18593215942383,427.5669250488281,-45.06888961791992,-46.217018127441406,-46.072776794433594,-1.5213649272918701
33,Pendulum-v1,237,-159.15897417646403,34199,171,144.04371094703674,43.45615005493164,455.7099914550781,-44.044281005859375,-45.021629333496094,-44.76624298095703,-1.984433889389038
34,Pendulum-v1,237,-155.20440193155235,35199,176,148.3717770576477,41.101219177246094,11.278644561767578,-42.770809173583984,-42.614742279052734,-42.56521987915039,-1.7105637788772583
35,Pendulum-v1,237,-158.42552243754068,36199,181,152.7102828025818,36.31132125854492,432.4500732421875,-36.86012268066406,-37.80529022216797,-37.233375549316406,-1.76398766040802
36,Pendulum-v1,236,-156.95506280871362,37199,186,157.0844464302063,41.68895721435547,7.520109176635742,-42.89952087402344,-42.596168518066406,-42.602237701416016,-1.6512645483016968
37,Pendulum-v1,236,-163.08092868980475,38199,191,161.41998553276062,39.904972076416016,9.829952239990234,-41.03178024291992,-41.1947135925293,-40.89594268798828,-1.7596832513809204
38,Pendulum-v1,236,-161.60176704901917,39199,196,165.7526867389679,40.89902877807617,5.722262859344482,-42.14781188964844,-42.2628173828125,-41.8504753112793,-1.8076446056365967
39,Pendulum-v1,236,-166.8073114727415,40199,201,170.13161611557007,42.9877815246582,110.14765930175781,-43.60602569580078,-44.11396789550781,-44.99635314941406,-1.864729642868042
40,Pendulum-v1,235,-163.45698323629952,41199,206,174.67198777198792,38.247074127197266,4.244696617126465,-39.743736267089844,-39.51787185668945,-39.25210189819336,-1.4753762483596802
41,Pendulum-v1,235,-162.79612408780616,42199,211,179.08243036270142,34.848045349121094,5.739887237548828,-36.23191833496094,-35.777278900146484,-35.99534225463867,-1.6404781341552734
42,Pendulum-v1,235,-160.92813013692307,43199,216,183.506929397583,38.28075408935547,5.922331809997559,-39.62789535522461,-39.56072235107422,-39.92202377319336,-1.805384874343872
43,Pendulum-v1,235,-163.91886767716795,44199,221,187.8802638053894,38.2597770690918,381.7915954589844,-39.0313720703125,-39.80070495605469,-39.6975212097168,-1.55648672580719
44,Pendulum-v1,235,-168.49261201135124,45199,226,192.24426460266113,36.26771545410156,390.52679443359375,-36.749324798583984,-37.74012756347656,-37.73460388183594,-1.5975093841552734
45,Pendulum-v1,235,-169.7162939667335,46199,231,196.57054042816162,30.82691192626953,5.021930694580078,-31.924531936645508,-31.666032791137695,-31.773761749267578,-1.4871946573257446
46,Pendulum-v1,234,-168.38918320885261,47199,236,200.98052954673767,30.814546585083008,4.327480316162109,-31.665733337402344,-31.666793823242188,-31.585979461669922,-1.6430259943008423
47,Pendulum-v1,234,-173.62179092409818,48199,241,205.30820846557617,31.42292022705078,4.0502777099609375,-32.04552459716797,-32.29011154174805,-32.11209487915039,-1.3309154510498047
48,Pendulum-v1,234,-176.064492474671,49199,246,209.65778231620789,36.35529708862305,8.824771881103516,-37.563270568847656,-37.093196868896484,-37.68918991088867,-1.5589087009429932
