,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,2753,21.92,-0.017505372583400458,0.685172261717992,60.349723312182306,60.33221792563414,38.961366495719325,8.54232120513916,1.0001454797310707,20000,896,0,7.262537956237793
1,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3128,34.42,-0.014037144347093999,0.6586073909814542,65.96403330289401,65.9499959847866,40.27431618372599,1.1384004354476929,1.0005026459693909,40000,1482,1,12.787656307220459
2,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3307,60.92,-0.024818862318837395,0.598053561647733,42.205175297076885,42.180356544103375,18.999260829656553,1.9628970623016357,0.9996804585823647,60000,1815,2,18.142414569854736
3,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3406,109.01,-0.016976120445626575,0.5783906851823514,23.58892449354514,23.57194838157067,14.171725493822342,2.1054189205169678,0.9997702438861896,80000,1987,3,23.482723712921143
4,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3462,184.86,-0.008759627623770099,0.5667845703852482,15.625618894283589,15.616859279534756,12.800344147437658,0.8766719698905945,0.9998989660006303,100000,2097,4,28.878217697143555
5,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3500,215.76,-0.008701277882583106,0.5542043598798605,10.91061605551304,10.901914705374303,10.742369847419935,0.4147447645664215,0.998857597892101,120000,2186,5,34.27714490890503
6,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3532,281.09,-0.004323731818331931,0.538828290043733,7.746073735677279,7.741749998239371,10.314934640052991,0.5112016797065735,1.000828677186599,140000,2248,6,39.62644362449646
7,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3559,293.48,-0.0030119292796231233,0.5371201761257954,8.362034858495761,8.359022897329085,10.841338608509455,0.03839665278792381,0.9988760334558976,160000,2315,7,44.95239758491516
8,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3574,358.83,-0.0020872136598858886,0.5297362353557196,12.25758503614328,12.255497853266887,9.386035990715026,-0.481489896774292,0.9996838672038836,180000,2358,8,50.363696575164795
9,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3588,414.66,-0.0018796557447132774,0.521700538121737,11.82968041835687,11.827800747981438,10.871638842118092,0.005628075450658798,0.9997123036629114,200000,2409,9,55.73558330535889
10,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\CartPole-v1\ppo,3601,435.03,-0.0026178215358716745,0.5173522602289151,11.795730906877763,11.793113070267898,9.37150469712722,-0.3144111931324005,0.9999281010566614,220000,2450,10,61.08299422264099
