,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
37,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,599,125.64416392180183,-0.00022212512200125135,0.40166105307065525,34.68579604564569,34.68557390066294,283.4164541489039,0.8767631649971008,0.9989181728699268,760000,4870,37,1266.9478261470795,0.0
38,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,600,118.87985095396445,-0.0008208286264935174,0.3945377603555337,33.046730449872136,33.04590973487267,307.6791560833271,-1.098695993423462,1.0009300438257365,780000,5051,38,1297.8711376190186,0.0
39,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,602,110.7110566491178,0.0009352938367579227,0.3537250869549238,35.32807160157424,35.329006828405916,299.53550663483446,-0.4777199327945709,0.9994939491534844,800000,5239,39,1326.8133630752563,0.0
40,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,605,122.73872479815468,1.5268641231486048e-05,0.41644493734989413,31.572925924643492,31.572941237229568,319.7592881520589,0.8219055533409119,1.0006717218038363,820000,5413,40,1355.2606325149536,0.0
41,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,606,113.82921794963107,-4.074223823128984e-05,0.5116927579809458,34.687616988940114,34.687576271937445,293.45829710349057,-0.4403877556324005,0.9998325721575664,840000,5583,41,1384.1097469329834,0.0
42,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,608,127.4939168042585,-0.00023184172086751996,0.501926759382089,36.00672954901671,36.00649763009487,299.48470663413025,0.18346981704235077,0.9996933233279448,860000,5755,42,1412.9486541748047,0.0
43,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,610,123.18272017971731,0.0008948065943490619,0.48874720755295875,34.409803791535204,34.41069857768523,330.4222815000094,0.08608602732419968,0.9998527181454194,880000,5928,43,1441.8668913841248,0.0
44,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,612,121.39217016874284,0.0010886428504585264,0.4775869387464646,37.5484181428567,37.549506798768654,308.9230793977395,0.2403307557106018,1.000258271740033,900000,6099,44,1470.0988483428955,0.0
45,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,613,109.2270659552568,-0.0005928925537050534,0.4715125636412547,36.12170864007412,36.121115669837366,339.8214157300118,0.36716604232788086,0.9984291820189892,920000,6278,45,1498.3940122127533,0.0
46,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,615,118.42002931424776,-0.0012636921359584308,0.4687157008892451,37.389071430304114,37.38780767000639,330.3230911254883,1.102400541305542,0.99998817497339,940000,6458,46,1527.511176109314,0.0
47,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,616,106.23773741257074,-0.00041922620640924346,0.36133585442335175,42.22533788925562,42.22491857822125,345.5588654738206,0.7660585045814514,1.0002453985886697,960000,6644,47,1557.1066896915436,0.0
48,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,618,114.40404464096656,0.0008535743986542981,0.38344257049835645,36.05309032537998,36.05394379297892,358.4251623496031,0.5971319079399109,1.0006023393227503,980000,6820,48,1585.6301114559174,0.0
49,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,619,111.62223606230108,-0.0020241711751366846,0.3193651468707965,35.89212055695363,35.890096503037675,378.5084714938433,-1.1058281660079956,1.0005992132119643,1000000,6998,49,1614.6773142814636,0.01
50,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,620,116.50864316107749,0.00023525795803811306,0.3329451934267313,33.74726690145639,33.74750243700468,372.4071523030599,-0.7048425674438477,0.9995921808939714,1020000,7175,50,1643.4479355812073,0.0
